Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
RES�T (RES[three]T) (Rossendorf Expert System for Surface and Sorption Thermodynamics),http://www.hzdr.de/res3t,,Chemistry,"RES�T is a digitized version of a thermodynamic sorption database as required for the parametrization of Surface Complexation Models (SCM). It is mineral-specific and can therefore also be used for additive models of more complex solid phases such as rocks or soils. A user interface helps to access selected mineral and sorption data, to convert parameter units, to extract internally consistent data sets for sorption modeling. Data records comprise of mineral properties, specific surface area values, characteristics of surface binding sites and their protolysis, sorption ligand information, and surface complexation reactions ",open; Copyrights - http://www.hzdr.de/db/Cms?pOid=10115&pNid=0,2004,Germany,open; Copyrights - http://www.hzdr.de/db/Cms?pOid=10115&pNid=0; Copyrights - http://www.hzdr.de/db/RES3T.disclaimer,restricted: registration,disciplinary,
"Reverb, ECHO",http://reverb.echo.nasa.gov/reverb/,National Aeronautics and Space Administration (NASA),"Meteorology, Hydrology, Geospatial data, Earth sciences, Soil science, Oceanography, Geology, Geobiology, Geochemistry, Environmental sciences, Physical sciences",This repository contains datasets relating to the Earth Sciences. Researchers and others interested in the Earth Sciences will find data here.,Open,2012,United States,,Closed,Governmental,
Rhea,http://www.ebi.ac.uk/rhea/,"Panda Chemoinformatics and Metabolism Group-European Bioinformatics Institute [Cambridge, UK], Swiss-Prot Group-Swiss Institute of Bioinformatics [Lausanne, SwitzerLand]","Enzymes--Analysis, Chemical reactions, Bioinformatics","Rhea is a reaction database, where all reaction participants (reactants and products) are linked to the ChEBI database (Chemical Entities of Biological Interest) which provides detailed information about structure, formula and charge. Rhea provides built-in validations that ensure both elemental and charge balance of the reactions. ",Open,NA,United States,Open: http://www.ebi.ac.uk/rhea/download.xhtml?conversationContext=2,Open,Disciplinary,
Rice Knowledge Management Portal (RKMP),http://rkmp.co.in/datarepository/,"Directorate of Rice Research, Indian Council of Agricultural Research","Plant breeding, Biotechnology, Soil science, Agronomy, Rice, Agriculture","RKMP is a data-information and knowledge transformation continuum, with about 27000 datasets related to AICRIP multi-location trials conducted over the last 45 years across India. ",Open and Closed,2010,India,Limited to India,Open,Disciplinary,
Ridge 2000 Data Portal (Ridge Interdisciplinary Global Experiments) (R2K Data Portal),http://www.marine-geo.org/portals/ridge2000/,"National Science Foundation, NSF, ridge 2000 Program, Columbia University, Lamont-Doherty Earth Observatory, LDEO",,Ridge 2000 is a multidisciplinary science research program focused on integrated geological and biological studies of the Earth-encircling oceanic spreading center system. ,open,1999,United States,restricted; CC - http://www.marine-geo.org/about/legal.php,restricted: registration; Contribute Data - http://www.iedadata.org/compliance/report,disciplinary,
RNA Abundance Database (RAD),http://cbil.upenn.edu/RAD/,"Center for Bioinformatics, CBIL",,"-Due to changes in technology and funding, the RAD website is no longer available (a historical description is provided below). RAD as a schema is still very much active and incorporated in the GUS (Genomics Unified Schema) database system used by CBIL (EuPathDB, Beta Cell Genomics) and others. The schema for RAD can be viewed along with the other GUS namespaces through our Schema Browser.- RAD is a resource for gene expression studies, which stores highly curated MIAME-compliant studies (i.e. experiments) employing a variety of technologies such as filter arrays, 2-channel microarrays, Affymetrix chips, SAGE, MPSS and RT-PCR. Data are available for querying and downloading based on the MGED ontology, publications or genes. Both public and private studies (the latter viewable only by users having appropriate logins and permissions) are available from this website",open,2003,United States,restricted; other - http://cbil.upenn.edu/RAD/php/RAD-data_sub.php?,restricted: registration; RAD Submission of Array Data - http://cbil.upenn.edu/RAD/php/RAD-data_sub.php?,disciplinary,
"Robert Koch Institut, Health Monitoring (Forschungsdatenzentrum Gesundheitsmonitoring am RKI)",http://www.rki.de/EN/Content/Health_Monitoring/health_monitoring_node.html,Robert Koch Institute,"Medicine, Medicine","Federal Health Reporting (Gesundheitsberichterstattung des Bundes, GBE) continuously supplies current data and information on the German population's state of health and the country's healthcare services. It covers a broad spectrum of topics, ranging from diseases, symptoms and risk factors to subjective well-being and health-related quality of life, utilization of preventive and healthcare services as well as the structures and costs of healthcare system.",open; Copyrights - http://www.rki.de/DE/Service/Impressum/impressum_node.html,7/24/2010,Germany,restricted; other - http://www.rki.de/DE/Content/Gesundheitsmonitoring/PublicUseFiles/antraege_pdf/verfahrensregeln.pdf?__blob=publicationFile,closed,disciplinary/other,
Romanian Social Data Archive (RODA),http://www.roda.ro/public/EN/template.php,"Romanian Social Data Archive, RODA, University of Bucharest, Faculty of Sociology and Social Work",Social sciences,"RODA is the national Romanian institution specialised in archiving electronic data collections obtained by social research.
The archive contains data collections accessible for the academic community and the interested public, for secondary and comparative analysis, under certain access conditions ranging from free access to some level of restriction imposed by owners. The archive serves as an intermediary between the data owners and data users.",open,,Romania,closed; other - http://www.roda.ro/public/EN/template.php?url=7,restricted: other; Depositing form - http://www.roda.ro/documente/DepositForm.pdf; License agreement - http://www.roda.ro/documente/LicenceAgreement.pdf,disciplinary,
Roper Center Public Opinion Archives,http://www.ropercenter.uconn.edu/data_access/data/dataset_collection.html,"Roper Center for Public Opinion Research, University of Connecticut","Economics, Education, Elections, Political parties, Health, Wars, Crises, Press","The Roper Center archives the data from polls originally conducted by survey research organizations. The data is preserved for use by researchers, students, and journalists. Its aim is to promote the intelligent, responsible, and imaginative use of public opinion to address the problems faced by both Americans and citizens of other countries.",Closed,,United States,Open; see http://www.ropercenter.uconn.edu/data_access/data/how_to_cite.html#.T3SK9NmibTo for information,,Institutional,
RRUFF Project,http://rruff.info,"RRUFF Project-Department of Geosciences, University of Arizona [Tucson, Arizona]","Planetary scientists, Geology, X-ray spectroscopy, Gemology, Gemologists, Mineralogy, Mineralogists","The RRUFF Project is creating a complete set of high quality spectral data from well characterized minerals and is developing the technology to share this information with the world. The collected data provides a standard for mineralogists, geoscientists, gemologists and the general public for the identification of minerals both on earth and for planetary exploration.Electron microprobe analysis is used to determine the chemistry of each mineral.",Open,2006,United States,Open,Open,Disciplinary,
